"participant","timestamp","OS","frameRate","ttotal","condition","rotation","used","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","consent","age","sex","bodylength_cm","handedness","device","cursorcontrol","needvisioncorrection","wearvisioncorrection","usedhand","reappearingcursor","comments"
"219940","2021-01-15_20h01.00.443","Win32",60,663.67661,1,60,TRUE,"2021-01-16 00:52:03","2021-01-16 01:30:22","IP Address",100,2299,TRUE,"2021-01-16 01:30:22","I agree to participate in the study",46,"Male",183,"Right","Laptop","Trackpad","No",NA,"Right","Yes","I did not like the big grey dot along with the mouse cursor. Made it really frustrating as sometimes the cursor would tend to get 'stuck', wasting more time to get to the next dot. Also, it would be advisable to get the countdown to 1 after touching every dot like a normal game, rather than touching the dot two times in order for the countdown to decrement by 1. If the things mentioned above had taken effect, this experiment would have taken much less time and would have actually been a fun 'game'."
"220039","2021-01-20_14h08.07.857","MacIntel",60,545.919,0,30,TRUE,"2021-01-20 19:02:31","2021-01-20 19:27:02","IP Address",100,1470,TRUE,"2021-01-20 19:27:02","I agree to participate in the study",25,"Female",122,"Right","Laptop","Trackpad","No",NA,"Right","Yes",NA
"220072","2021-01-17_14h28.59.004","Linux x86_64",60,779.903555,1,30,TRUE,"2021-01-17 19:27:08","2021-01-17 19:56:45","IP Address",100,1777,TRUE,"2021-01-17 19:56:45","I agree to participate in the study",21,"Female",156,"Right","Laptop","Trackpad","No",NA,"Right","No",NA
"220090","2021-01-17_01h21.04.373","MacIntel",60,542.04373,2,30,TRUE,"2021-01-17 06:19:26","2021-01-17 06:31:06","IP Address",100,699,TRUE,"2021-01-17 06:31:06","I agree to participate in the study",18,"Female",165,"Right","Laptop","Trackpad","Yes","Yes","Right","Not sure",NA
"220123","2021-01-20_15h30.17.054","Win32",60,990.71779,3,60,TRUE,"2021-01-20 20:25:04","2021-01-20 20:47:54","IP Address",100,1370,TRUE,"2021-01-20 20:47:54","I agree to participate in the study",18,"Female",185,"Left","Laptop","Trackpad","No",NA,"Right","No",NA
"220165","2021-01-20_11h00.26.302","MacIntel",60,704.158,2,60,TRUE,"2021-01-20 15:44:19","2021-01-20 16:15:22","IP Address",100,1863,TRUE,"2021-01-20 16:15:22","I agree to participate in the study",19,"Female",160,"Right","Laptop","Trackpad","Yes","Yes","Right","Not sure",NA
"220201","2021-01-16_23h21.35.759","Win32",60,794.26417,0,60,TRUE,"2021-01-17 04:17:45","2021-01-17 04:50:09","IP Address",100,1943,TRUE,"2021-01-17 04:50:09","I agree to participate in the study",18,"Female",165,"Right","Laptop","Trackpad","Yes","Yes","Right","Yes",NA
"220234","2021-01-20_17h12.47.069","Win32",60,448.35214,0,30,TRUE,"2021-01-20 22:10:52","2021-01-20 22:21:58","IP Address",100,665,TRUE,"2021-01-20 22:21:58","I agree to participate in the study",21,"Male",185,"Right","PC","Mouse","Yes","Yes","Right","Yes",NA
"220408","2021-01-16_10h22.30.594","Win32",60,661.464545,4,60,TRUE,"2021-01-16 15:19:20","2021-01-16 15:34:43","IP Address",100,923,TRUE,"2021-01-16 15:34:43","I agree to participate in the study",21,"Female",175,"Right","Laptop","Trackpad","No",NA,"Right","Yes","How did u change the mouse inputs?"
"220453","2021-01-17_15h23.40.734","Win32",60,462.51184,3,30,TRUE,"2021-01-17 20:15:49","2021-01-17 20:32:23","IP Address",100,994,TRUE,"2021-01-17 20:32:24","I agree to participate in the study",20,"Male",170,"Right","Laptop","Mouse","No",NA,"Right","No",NA
"220546","2021-01-18_11h33.26.772","MacIntel",60,617.59521,4,60,TRUE,"2021-01-18 16:26:20","2021-01-18 16:44:52","IP Address",100,1111,TRUE,"2021-01-18 16:44:52","I agree to participate in the study",22,"Female",155,"Right","Laptop","Trackpad","Yes","Yes","Right","Yes",NA
"220636","2021-01-16_05h46.01.119","MacIntel",60,546.695,5,30,TRUE,"2021-01-16 10:42:05","2021-01-16 10:55:58","IP Address",100,832,TRUE,"2021-01-16 10:55:58","I agree to participate in the study",18,"Female",149.86,"Right","Laptop","Trackpad","No",NA,"Right","Yes",NA
"220795","2021-01-15_14h16.12.791","Win32",60,961.49704,5,60,TRUE,"2021-01-15 19:10:34","2021-01-15 19:38:30","IP Address",100,1676,TRUE,"2021-01-15 19:38:31","I agree to participate in the study",20,"Female",159,"Right","Laptop","Trackpad","Yes","Yes","Right","Yes","The touchpad moved unusual at the end. I couldn't move the mouse cursor to a way that I wanted to."
"220855","2021-01-17_19h10.52.372","MacIntel",60,934.013,0,60,TRUE,"2021-01-18 00:08:48","2021-01-18 00:39:13","IP Address",100,1824,TRUE,"2021-01-18 00:39:13","I agree to participate in the study",20,"Female",5,"Right","Laptop","Trackpad","No",NA,"Left","Not sure",NA
